27536	40953	33729
25546	40948	10838
1213	40949	38780
4207	40945	6437
27541	40945	34437
8217	40950	20390
23993	40953	10605
40739	40945	23109
28371	40953	23691
26253	40945	18138
27779	40953	15699
17384	40948	39101
17676	40953	297
4995	40953	6982
21345	40948	35647
463	40953	28504
3659	40953	27778
15560	40953	26191
11394	40948	26322
29694	40945	2111
40436	40948	20083
17283	40960	24760
18941	40953	8977
3375	40948	33621
34771	40953	39622
39435	40948	7453
22494	40948	36129
35499	40944	40007
12500	40953	11609
33699	40953	25499
21879	40944	38998
5092	40945	13780
29947	40953	3451
22799	40943	15392
21796	40948	25307
39584	40948	20960
29808	40945	28511
19103	40945	1552
37374	40945	9126
29500	40945	6800
9182	40953	7138
15359	40953	11010
39065	40948	10984
28333	40948	141
19335	40953	3393
11970	40948	34591
3111	40945	27570
34205	40945	18000
9232	40953	21918
19365	40953	28485
3592	40949	37025
21813	40958	9055
19459	40953	8268
14848	40948	12854
17651	40953	37975
38158	40953	26090
36674	40944	20872
37488	40945	25433
944	40945	39837
16256	40948	31695
18302	40953	4303
9639	40954	737
26192	40949	23395
5467	40954	28853
13139	40953	28884
11882	40953	16748
29461	40949	22401
23004	40945	40472
21279	40953	19872
10704	40953	5939
26837	40949	36957
40167	40958	29813
37042	40948	18229
14100	40952	1106
2860	40945	34744
6056	40944	8614
16711	40953	11056
5503	40948	21975
26617	40948	18184
14714	40953	9735
23042	40956	24510
30972	40948	33341
12728	40948	26492
4968	40953	19979
32453	40948	13161
14090	40945	21140
22629	40948	10046
34004	40945	37474
6225	40949	13118
23134	40945	13610
31522	40953	19758
18506	40949	3914
17524	40953	23792
27502	40945	5122
27132	40953	29463
7572	40948	10228
24109	40945	40592
23292	40953	10766
32975	40953	31316
35198	40953	30919
28150	40951	23443
794	40948	13929
40195	40954	26786
16235	40945	18564
9961	40945	26373
22206	40956	38010
22719	40945	22344
33450	40943	14663
2781	40945	18353
10416	40948	25402
30837	40950	23872
26640	40945	28165
38337	40948	30695
33123	40954	31009
36363	40948	16989
6412	40953	14941
31530	40952	2066
15488	40953	26655
15751	40949	10145
20779	40948	34242
8563	40946	11519
22311	40953	24579
103	40960	35358
9113	40956	21597
37279	40948	6515
31046	40945	30774
39566	40945	9257
19231	40945	22325
4862	40948	16533
15730	40945	30729
27256	40958	16118
20800	40953	33493
23691	40948	28371
18798	40948	21140
28958	40945	35409
27232	40948	8089
15299	40958	14778
4766	40945	12680
8227	40948	21228
21484	40953	37138
23837	40945	7163
